para,p_index,mean,se_mean,sd,mode,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,1,0.3542,0.0062,0.2717,0.023,9e-4,0.1129,0.3266,0.5398,0.9315,1908.1674,1.0019
alpha,2,0.324,0.0064,0.25,0.024,5e-4,0.104,0.2979,0.4997,0.8797,1534.2682,1.0029
alpha,3,0.3322,0.0062,0.3022,0.0242,4e-4,0.0387,0.26,0.5715,0.9506,2360.3026,1.0005
alpha,4,0.2189,0.0038,0.209,0.0324,0.0011,0.0497,0.1508,0.3384,0.7359,3038.1127,1
alpha,5,0.338,0.0051,0.2567,0.0412,0.0023,0.112,0.3023,0.521,0.8876,2507.8045,1.0007
alpha,6,0.4814,0.0036,0.248,0.3316,0.0799,0.2807,0.4539,0.6735,0.953,4780.6591,0.9997
alpha,7,0.2998,0.0064,0.2999,0.0171,2e-4,0.0149,0.2135,0.5315,0.9313,2216.7184,1.0017
alpha,8,0.5495,0.0049,0.2308,0.4789,0.0975,0.3855,0.5443,0.7326,0.9592,2249.3938,0.9993
alpha,9,0.6263,0.0031,0.2174,0.6674,0.1721,0.4683,0.6422,0.7971,0.979,4908.4047,1.0001
alpha,10,0.5405,0.0115,0.3037,0.7683,0.0031,0.3081,0.6253,0.7837,0.9564,702.9776,1.0037
alpha,11,0.32,0.0071,0.3044,0.0207,2e-4,0.026,0.243,0.5614,0.9414,1818.7226,1.0002
alpha,12,0.4057,0.0068,0.3223,0.0428,0.0015,0.0966,0.3563,0.6984,0.9725,2272.4792,1.0011
alpha,13,0.3564,0.0062,0.3014,0.0296,9e-4,0.0664,0.2951,0.6096,0.9415,2399.8053,0.9996
alpha,14,0.6058,0.0031,0.2155,0.7305,0.1548,0.4552,0.6324,0.7736,0.9495,4930.2677,0.9998
alpha,15,0.4176,0.0032,0.1648,0.3546,0.1685,0.3017,0.3884,0.504,0.8348,2708.9151,1.0002
alpha,16,0.3265,0.0067,0.3227,0.0191,2e-4,0.0181,0.2232,0.6064,0.9534,2308.6855,1.0009
alpha,17,0.4485,0.0072,0.3066,0.0224,4e-4,0.167,0.4577,0.7005,0.9632,1812.7844,1.0015
alpha,18,0.4942,0.0042,0.2159,0.5156,0.072,0.3426,0.5018,0.6495,0.9076,2615.3517,1
alpha,19,0.6142,0.003,0.2149,0.7159,0.1888,0.4571,0.6237,0.7842,0.9716,5093.1861,1.0003
alpha,20,0.5745,0.0045,0.1742,0.5898,0.2126,0.4597,0.5798,0.6956,0.8991,1495.5098,1.0023
alpha,21,0.5168,0.0093,0.333,0.8926,4e-4,0.2029,0.5647,0.8233,0.9844,1278.6854,1.0008
alpha,22,0.4305,0.0083,0.3238,0.0213,2e-4,0.0974,0.4339,0.7156,0.9727,1511.1966,0.9998
alpha,23,0.8233,0.0017,0.1359,0.9476,0.4867,0.7426,0.854,0.9317,0.9934,6682.6008,0.9998
alpha,24,0.7036,0.0032,0.1988,0.7724,0.2485,0.578,0.7341,0.8586,0.9855,3746.5075,0.9996
alpha,25,0.967,8e-4,0.0494,0.9954,0.8265,0.9596,0.9859,0.9954,0.9997,3861.6617,1.0001
beta,1,6.658,0.7335,28.2211,1.0538,0.2373,0.9181,1.4051,2.0638,61.2089,1480.4785,1.0037
