Generation,ID,group,gene_CD,payoff,offspring
0,0,0,C,1.0,0
0,1,0,C,1.0,1
0,2,0,C,1.0,0
0,3,0,C,1.0,0
0,4,1,C,1.0,2
0,5,1,C,1.0,0
0,6,1,C,1.0,1
0,7,1,C,1.0,1
0,8,2,C,1.0,0
0,9,2,C,1.0,0
0,10,2,C,1.0,2
0,11,2,C,1.0,1
0,12,3,D,1.5,1
0,13,3,C,0.5,1
0,14,3,C,0.5,0
0,15,3,C,0.5,0
0,16,4,C,0.5,0
0,17,4,D,1.5,3
0,18,4,C,0.5,1
0,19,4,C,0.5,0
0,20,5,C,1.0,1
0,21,5,C,1.0,2
0,22,5,C,1.0,1
0,23,5,C,1.0,3
0,24,6,C,0.5,1
0,25,6,D,1.5,1
0,26,6,C,0.5,1
0,27,6,C,0.5,1
0,28,7,C,1.0,1
0,29,7,C,1.0,1
0,30,7,C,1.0,3
0,31,7,C,1.0,0
0,32,8,C,1.0,1
0,33,8,C,1.0,0
0,34,8,C,1.0,1
0,35,8,C,1.0,3
0,36,9,C,0.5,0
0,37,9,C,0.5,1
0,38,9,C,0.5,0
0,39,9,D,1.5,2
0,40,10,C,1.0,0
0,41,10,C,1.0,2
0,42,10,C,1.0,1
0,43,10,C,1.0,1
0,44,11,C,1.0,0
0,45,11,C,1.0,1
0,46,11,C,1.0,2
0,47,11,C,1.0,1
0,48,12,C,1.0,2
0,49,12,C,1.0,2
0,50,12,C,1.0,2
0,51,12,C,1.0,0
0,52,13,D,1.5,2
0,53,13,C,0.5,3
0,54,13,C,0.5,0
0,55,13,C,0.5,1
0,56,14,D,1.5,1
0,57,14,C,0.5,1
0,58,14,C,0.5,1
0,59,14,C,0.5,0
0,60,15,C,0.5,1
0,61,15,C,0.5,1
0,62,15,C,0.5,0
0,63,15,D,1.5,1
0,64,16,C,1.0,1
0,65,16,C,1.0,1
0,66,16,C,1.0,0
0,67,16,C,1.0,0
0,68,17,C,0.5,0
0,69,17,D,1.5,1
0,70,17,C,0.5,0
0,71,17,C,0.5,0
0,72,18,C,1.0,1
0,73,18,C,1.0,1
0,74,18,C,1.0,0
0,75,18,C,1.0,2
0,76,19,C,1.0,3
0,77,19,C,1.0,1
0,78,19,C,1.0,0
0,79,19,C,1.0,1
0,80,20,C,1.0,1
0,81,20,C,1.0,3
0,82,20,C,1.0,0
0,83,20,C,1.0,3
0,84,21,C,0.5,1
0,85,21,C,0.5,2
0,86,21,C,0.5,1
0,87,21,D,1.5,2
0,88,22,C,0.5,2
0,89,22,D,1.5,2
0,90,22,C,0.5,1
0,91,22,C,0.5,0
0,92,23,C,1.0,2
0,93,23,C,1.0,2
0,94,23,C,1.0,0
0,95,23,C,1.0,0
0,96,24,C,0.5,1
0,97,24,C,0.5,0
0,98,24,D,1.5,0
0,99,24,C,0.5,1
1,0,0,C,1.0,1
1,1,0,C,1.0,0
1,2,0,C,1.0,1
1,3,0,C,1.0,1
1,4,1,C,0.5,2
1,5,1,D,1.5,0
1,6,1,C,0.5,0
1,7,1,C,0.5,1
1,8,2,C,0.5,2
1,9,2,D,1.5,2
1,10,2,C,0.5,1
1,11,2,C,0.5,0
1,12,3,C,0.0,0
1,13,3,D,1.0,2
1,14,3,D,1.0,1
1,15,3,C,0.0,0
1,16,4,C,0.5,2
1,17,4,C,0.5,0
1,18,4,C,0.5,0
1,19,4,D,1.5,3
1,20,5,C,1.0,1
1,21,5,C,1.0,2
1,22,5,C,1.0,1
1,23,5,C,1.0,1
1,24,6,C,0.5,0
1,25,6,C,0.5,1
1,26,6,D,1.5,4
1,27,6,C,0.5,2
1,28,7,C,1.0,3
1,29,7,C,1.0,2
1,30,7,C,1.0,1
1,31,7,C,1.0,1
1,32,8,C,1.0,2
1,33,8,C,1.0,1
1,34,8,C,1.0,0
1,35,8,C,1.0,4
1,36,9,C,1.0,1
1,37,9,C,1.0,0
1,38,9,C,1.0,2
1,39,9,C,1.0,0
1,40,10,C,0.5,0
1,41,10,C,0.5,0
1,42,10,C,0.5,0
1,43,10,D,1.5,2
1,44,11,C,0.5,1
1,45,11,D,1.5,4
1,46,11,C,0.5,0
1,47,11,C,0.5,1
1,48,12,C,1.0,0
1,49,12,C,1.0,0
1,50,12,C,1.0,3
1,51,12,C,1.0,0
1,52,13,C,0.5,0
1,53,13,C,0.5,0
1,54,13,C,0.5,1
1,55,13,D,1.5,1
1,56,14,C,1.0,2
1,57,14,C,1.0,1
1,58,14,C,1.0,1
1,59,14,C,1.0,2
1,60,15,D,1.5,0
1,61,15,C,0.5,1
1,62,15,C,0.5,0
1,63,15,C,0.5,0
1,64,16,C,0.5,1
1,65,16,C,0.5,0
1,66,16,D,1.5,1
1,67,16,C,0.5,0
1,68,17,C,0.5,0
1,69,17,C,0.5,1
1,70,17,C,0.5,2
1,71,17,D,1.5,0
1,72,18,C,1.0,2
1,73,18,C,1.0,1
1,74,18,C,1.0,3
1,75,18,C,1.0,0
1,76,19,C,1.0,2
1,77,19,C,1.0,1
1,78,19,C,1.0,2
1,79,19,C,1.0,1
1,80,20,C,1.0,1
1,81,20,C,1.0,0
1,82,20,C,1.0,1
1,83,20,C,1.0,3
1,84,21,C,1.0,0
1,85,21,C,1.0,0
1,86,21,C,1.0,2
1,87,21,C,1.0,2
1,88,22,C,0.5,1
1,89,22,D,1.5,1
1,90,22,C,0.5,1
1,91,22,C,0.5,0
1,92,23,D,1.5,0
1,93,23,C,0.5,0
1,94,23,C,0.5,0
1,95,23,C,0.5,3
1,96,24,C,0.0,0
1,97,24,D,1.0,0
1,98,24,C,0.0,0
1,99,24,D,1.0,0
2,0,0,C,0.0,0
2,1,0,C,0.0,0
2,2,0,D,1.0,1
2,3,0,D,1.0,2
2,4,1,C,1.0,0
2,5,1,C,1.0,0
2,6,1,C,1.0,2
2,7,1,C,1.0,0
2,8,2,C,1.0,0
2,9,2,C,1.0,2
2,10,2,C,1.0,0
2,11,2,C,1.0,3
2,12,3,C,0.5,0
2,13,3,D,1.5,2
2,14,3,C,0.5,1
2,15,3,C,0.5,0
2,16,4,C,0.5,1
2,17,4,C,0.5,1
2,18,4,D,1.5,2
2,19,4,C,0.5,1
2,20,5,D,1.0,0
2,21,5,D,1.0,1
2,22,5,C,0.0,0
2,23,5,C,0.0,1
2,24,6,C,0.0,0
2,25,6,D,1.0,0
2,26,6,C,0.0,0
2,27,6,D,1.0,2
2,28,7,C,1.0,2
2,29,7,C,1.0,0
2,30,7,C,1.0,3
2,31,7,C,1.0,1
2,32,8,C,1.0,0
2,33,8,C,1.0,1
2,34,8,C,1.0,0
2,35,8,C,1.0,1
2,36,9,D,1.0,2
2,37,9,C,0.0,0
